X,Y,Index_,event_unique_id,occurrence_year,Division,homicide_type,occurrence_date,Hood_ID,Neighbourhood,Lat,Long,ObjectId
-8837971.94632132,5416828.23588509,1,111878,2004,D53,Other,2004/01/03 05:00:00+00,98,Rosedale-Moore Park (98),43.6850281,-79.3928528,1
-8820395.67852413,5431696.39939342,2,125755,2004,D42,Shooting,2004/01/08 05:00:00+00,137,Woburn (137),43.7815361,-79.2349625,2
-8817271.09626485,5436218.78853035,3,136086,2004,D42,Shooting,2004/01/08 05:00:00+00,132,Malvern (132),43.8108597,-79.2068939,3
-8842597.23776794,5414588.24076377,4,148623,2004,D13,Shooting,2004/01/25 05:00:00+00,93,Dovercourt-Wallace Emerson-Junction (93),43.670475,-79.4344025,4
-8816933.93179113,5438175.6168508,5,148619,2004,D42,Shooting,2004/01/25 05:00:00+00,131,Rouge (131),43.8235435,-79.2038651,5
-8850860.92884748,5422354.48830228,6,152518,2004,D31,Stabbing,2004/02/20 05:00:00+00,26,Downsview-Roding-CFB (26),43.7209167,-79.5086365,6
-8850899.14482868,5422577.77232536,7,172092,2004,D31,Shooting,2004/02/21 05:00:00+00,26,Downsview-Roding-CFB (26),43.7223663,-79.5089798,7
-8860237.20257777,5425774.24040364,8,133635,2004,D23,Other,2004/02/21 05:00:00+00,2,Mount Olive-Silverstone-Jamestown (2),43.7431145,-79.592865,8
-8819576.09990511,5437053.25698532,9,218803,2004,D42,Shooting,2004/03/03 05:00:00+00,131,Rouge (131),43.8162689,-79.2276001,9
-8826158.17649284,5419146.30112715,10,200779,2004,D41,Shooting,2004/03/04 05:00:00+00,120,Clairlea-Birchmount (120),43.7000847,-79.2867279,10
-8823906.6841318,5435782.16203614,11,218585,2004,D42,Shooting,2004/03/03 05:00:00+00,129,Agincourt North (129),43.8080292,-79.2665024,11
-8821157.49345937,5429374.00771964,12,229133,2004,D41,Stabbing,2004/03/13 05:00:00+00,137,Woburn (137),43.7664719,-79.241806,12
-8841824.36880726,5420612.50081668,13,219659,2004,D53,Other,2004/03/18 05:00:00+00,39,Bedford Park-Nortown (39),43.7096062,-79.4274597,13
-8819323.00391084,5428349.72786316,14,219687,2004,D42,Other,2004/03/24 05:00:00+00,137,Woburn (137),43.7598267,-79.2253265,14
-8835542.94390027,5412713.88157599,15,256410,2004,D51,Other,2004/04/01 05:00:00+00,73,Moss Park (73),43.6582947,-79.3710327,15
-8855528.67754789,5422998.5085716,16,250857,2004,D23,Shooting,2004/04/13 04:00:00+00,5,Elms-Old Rexdale (5),43.7250977,-79.5505676,16
-8858791.69672592,5424536.42163855,17,350484,2004,D23,Shooting,2004/05/01 04:00:00+00,2,Mount Olive-Silverstone-Jamestown (2),43.7350807,-79.5798798,17
-8830839.51730306,5418509.01612274,18,301868,2004,D54,Shooting,2004/03/03 05:00:00+00,58,Old East York (58),43.6959457,-79.3287811,18
-8851987.94963617,5429789.14998728,19,311851,2004,D31,Shooting,2004/05/15 04:00:00+00,24,Black Creek (24),43.769165,-79.5187607,19
-8854813.57227098,5402874.5747603,20,311870,2004,D22,Stabbing,2004/05/19 04:00:00+00,20,Alderwood (20),43.5943146,-79.5441437,20
-8834648.63650708,5412989.75720031,21,374867,2004,D51,Shooting,2004/05/21 04:00:00+00,72,Regent Park (72),43.6600876,-79.362999,21
-8858616.73588224,5424602.25429101,22,408720,2004,D23,Other,2004/05/21 04:00:00+00,3,Thistletown-Beaumond Heights (3),43.735508,-79.5783081,22
-8845117.95631746,5420698.84932325,23,374908,2004,D13,Other,2004/05/20 04:00:00+00,31,Yorkdale-Glen Park (31),43.7101669,-79.4570465,23
-8843081.33283755,5410278.30445311,24,418221,2004,D11,Other,2004/05/25 04:00:00+00,86,Roncesvalles (86),43.6424637,-79.4387512,24
-8835967.59436179,5413077.21929433,25,456650,2004,D51,Other,2004/06/01 04:00:00+00,73,Moss Park (73),43.660656,-79.3748474,25
-8841899.10871338,5409281.36609994,26,455137,2004,D14,Shooting,2004/06/04 04:00:00+00,85,South Parkdale (85),43.6359825,-79.4281311,26
-8835367.99418853,5412133.98337327,27,456829,2004,D51,Stabbing,2004/06/18 04:00:00+00,73,Moss Park (73),43.6545258,-79.3694611,27
-8853815.63756381,5420858.6431614,28,510813,2004,D31,Shooting,2004/06/19 04:00:00+00,23,Pelmo Park-Humberlea (23),43.7112045,-79.5351791,28
-8852422.78583111,5430248.43185894,29,564223,2004,D31,Shooting,2004/07/01 04:00:00+00,24,Black Creek (24),43.7721443,-79.5226669,29
-8824941.97766007,5419062.89266069,30,565547,2004,D41,Stabbing,2004/07/05 04:00:00+00,121,Oakridge (121),43.699543,-79.2758026,30
